name,url
NANC 403 – Allow Recovery Messages to be sent only during Recovery,https://numberportability.com/documents/6349/NANC_403-recover_only_during_recovery-v2.docx
NANC 467 – ASN.1 – CMIP lnpRecoveryComplete Action reply,https://numberportability.com/documents/4989/NANC_467_-_iconectiv6_-_ASN.1_-_lnpRecoveryComplete_V1_7A0GPpW.docx
NANC 471 – ASN.1 – SV DisconnectReply,https://numberportability.com/documents/5073/NANC_471_-_iconectiv22_-_ASN.1_-_SV_DisconnectReply_V1_AnNlkyf.docx
NANC 472 – ASN.1 – Audit Discrepancy Report,https://numberportability.com/documents/7006/NANC_472_-_ASN.1_Audit_Discrepancy_Report_-_v4.docx
NANC 473 – ASN.1 – Address Information,https://numberportability.com/documents/1299/NANC_473_-_iconectiv46_-_ASN.1_-_Address_Information_V1_vekdual.docx
NANC 474 – ASN.1 – SWIM Recovery,https://numberportability.com/documents/1301/NANC_474_-_iconectiv79_-_ASN.1_-_SWIM_Recovery_V1_RHq6sRY.docx
NANC 477 – GDMO – Service Provider Type Definition,https://numberportability.com/documents/1306/NANC_477_-_GDMO__Service_Provider_Type_Definition.docx
NANC 478 – ASN.1 – Pre-cancellation Status of Disconnect Pending,https://numberportability.com/documents/5579/NANC_478_-_FRS_ASN.1__Pre_Cancellation_Status_of_Disconnect_Pending_-_v2.docx
NANC 484 – XML – Removal of Optional Data values,https://numberportability.com/documents/5437/NANC_484_-_XML__Removal_of_Optional_Data_Values_-_v2.docx
NANC 494 – XML Message Delegation,https://numberportability.com/documents/5061/NANC_494_-_RR6-237_-_XML_Message_Delegation_AwJnYUx.docx
NANC 497 – NPAC Customer ID in CMIP Key Exchange ,https://numberportability.com/documents/6539/NANC_497_-_NPAC_Customer_ID_in_CMIP_Key_Exchange_-_v2.docx
NANC 528 – GDMO-ASN.1-XSD updates,https://numberportability.com/documents/5615/NANC_528_-_GDMO-ASN.1-XSD_updates_-_v5a.docx
NANC 531 – Recovery and Roll-up,https://numberportability.com/documents/5447/NANC_531_-_Recovery_and_Roll-up.docx
NANC 533 – Audits with Activation Timestamp Range,https://numberportability.com/documents/5487/NANC_533_-_Audits_with_Activation_Timestamp_Range.docx
NANC 535 – SP Deletion Validation for Alt SPID and Last Alt SPID ,https://numberportability.com/documents/5489/NANC_535_-_SP_Deletion_and_Alt_SPID_Last_Alt_SPID_validation.docx
NANC 537 – MUMP Due Date Matching ,https://numberportability.com/documents/5495/NANC_537_-_MUMP_-_Due_Date_Matching_neaJZVg.docx
NANC 538 – Expanded Deletion of Inactive SPIDs ,https://numberportability.com/documents/5585/NANC_538_-_Expanded_Deletion_of_Inactive_SPIDs.docx
NANC 541 – Time Based Recovery Limit ,https://numberportability.com/documents/6291/NANC_541-_Time_Based_Recovery_Limit_kmdOrtd.docx
NANC 549 – Removal of Customer Contact Related Error Codes ,https://numberportability.com/documents/6425/NANC_549_-_Removal_of_Customer_Contact_Related_Error_Codes.docx
NANC 550 – Billing ID and Alt-Billing ID Consistency ,https://numberportability.com/documents/6536/NANC_550_-_Billing_ID_and_Alt-Billing_ID_Consistency1.docx
Vendor Certification and Regression Test Plan Chapter 1-7 R5.0 10-25-2020,https://numberportability.com/documents/7645/Vendor_Certification_and_Regression_Test_Plan_Chapter_17_R5.0_10-25-2020_2RzlkoI.docx
Vendor Certification and Regression Test Plan Chapter 8 R5.0 10-25-2020,https://numberportability.com/documents/7226/Vendor_Certification_and_Regression_Test_Plan_Chapter_8_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 9 R5.0 10-25-2020,https://numberportability.com/documents/7230/Vendor_Certification_and_Regression_Test_Plan_Chapter_9_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 10 R5.0 10-25-2020,https://numberportability.com/documents/7190/Vendor_Certification_and_Regression_Test_Plan_Chapter_10_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 11 R5.0 10-25-2020,https://numberportability.com/documents/7194/Vendor_Certification_and_Regression_Test_Plan_Chapter_11_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 12 R5.0 10-25-2020,https://numberportability.com/documents/7198/Vendor_Certification_and_Regression_Test_Plan_Chapter_12_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 13 R5.0 10-25-2020,https://numberportability.com/documents/7202/Vendor_Certification_and_Regression_Test_Plan_Chapter_13_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 14 R5.0 10-25-2020,https://numberportability.com/documents/7206/Vendor_Certification_and_Regression_Test_Plan_Chapter_14_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 15 R5.0 10-25-2020,https://numberportability.com/documents/7210/Vendor_Certification_and_Regression_Test_Plan_Chapter_15_R5.0_10-25-2020.docx 
Vendor Certification and Regression Test Plan Chapter 16 R5.0 10-25-2020,https://numberportability.com/documents/7214/Vendor_Certification_and_Regression_Test_Plan_Chapter_16_R5.0_10-25-2020.docx
Vendor Certification and Regression Test Plan Chapter 17 R5.0 10-25-2020,https://numberportability.com/documents/7218/Vendor_Certification_and_Regression_Test_Plan_Chapter_17_R5.0_10-25-2020.docx
Release 5.0 Read Me,https://numberportability.com/documents/6550/Release_5.0_Read_Me_v3_FrQreTH.docx
