name,url
NANC 525 - MUMP Mass Pooling,https://numberportability.com/documents/5509/NANC_525_-_MUMP_Mass_Pooling_-_v4.docx
NANC 532 - MUMP File Formats,https://numberportability.com/documents/5511/NANC_532_-_MUMP_File_Formats_-_Doc_Only_Change.docx
NANC 536 - MUMP Email Notification list,https://numberportability.com/documents/5491/NANC_536_-_MUMP_Email_Notification_List.docx
NANC 453 Change Definition and Disallow Use of Inactive SPID,https://numberportability.com/documents/4979/NANC_453_-_change_defn_and_disallow_use_of_inactive_SPID_-_v1_RiljWTT.docx
NANC 522 BDD File SSN Field,https://numberportability.com/documents/5315/NANC_522_-_BDD_Files_SSN_Field.docx
NANC 523 Implicit NPAC SMS Requirements,https://numberportability.com/documents/5317/NANC_523_-_Implicit_NPAC_SMS_Requirements.docx
NANC 527 Modify SV No AVC Notifications,https://numberportability.com/documents/5321/NANC_527_-_Modify_SV_AVC_Notification.docx
NANC 529 Multiple SVs for TNs in BDD file,https://numberportability.com/documents/5443/NANC_529_-_Multiple_SVs_for_TN_in_BDD_File.docx
NANC 530 Hold/Replay Clarifications,https://numberportability.com/documents/5485/NANC_530_-_Hold_Replay_Clarifications_-_v2.docx
Release 4.1b GDMO-11-06-2018 (future use) ,https://numberportability.com/documents/5543/Release_4.1b_GDMO-11-06-2018_future_use.txt
Release 4.1b Vendor Certification and Regression Test Plans Chapter 1-7,https://numberportability.com/documents/6253/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_1-7.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 8,https://numberportability.com/documents/6254/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_8.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 9,https://numberportability.com/documents/6255/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_9.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 10,https://numberportability.com/documents/6256/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_10.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 11,https://numberportability.com/documents/6257/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_11.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 12,https://numberportability.com/documents/6258/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_12.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 13,https://numberportability.com/documents/6248/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_13.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 14,https://numberportability.com/documents/6249/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_14.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 15,https://numberportability.com/documents/6250/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_15.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 16,https://numberportability.com/documents/6251/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_16.docx
Release 4.1b Vendor Certification and Regression Test Plans Chapter 17,https://numberportability.com/documents/6252/Release_4.1b_Vendor_Certification__Regression_Test_Plan_Chapter_17.docx
NANC 454 Remove Unused Message from the NPAC,https://numberportability.com/documents/5463/NANC_454-Remove_Unused_Messages_from_the_NPAC-v4.docx
NANC 460 Sunset List Items – Local System Impact = No,https://numberportability.com/documents/5465/NANC_460-Sunset_List_-_no_local_system_impacts-v2.docx
NANC 461 Sunset List Items – Local System Impact = Yes,https://numberportability.com/documents/5467/NANC_461-Sunset_List_-_local_system_impacts-v2.docx
NANC 493 Recovery – Association Functions,https://numberportability.com/documents/5469/NANC_493-Recovery_-_Association_Functions.docx
NANC 498 Multiple Associations,https://numberportability.com/documents/5471/NANC_498-Muliple_Associations.docx
NANC 519 BDD File Compression,https://numberportability.com/documents/5247/NANC_519__BDD_File_Compression.docx
NANC 520 SIC SMURF Naming Convention – Doc Only Changes,https://numberportability.com/documents/5245/NANC_520__SIC_SMURF_Naming_Convention__Doc_Only_Changes.docx
NANC 524 MUMP File Layouts - Near Term,https://numberportability.com/documents/5341/NANC_524__MUMP_File_Layouts__Near_Term.docx
NANC 526 SIC SMURF File Production,https://numberportability.com/documents/5319/NANC_526_-_SIC-SMURF_File_Production.docx
Release 4.1a GDMO-09-11-2018 (future use),https://numberportability.com/documents/5541/Release_4.1a_GDMO-09-11-2018_future_use.txt
Release 4.1a Certification and Regression Test Plans Chapter 1-7 – v1,https://numberportability.com/documents/5635/Release_4.1a_Certification__Regression_Test_Plan_Chapter_1-7_-_v1.docx
Release 4.1a Certification and Regression Test Plans Chapter 1-7 – v2,https://numberportability.com/documents/5636/Release_4.1a_Certification__Regression_Test_Plan_Chapter_1-7_-_v2.docx
Release 4.1a Certification and Regression Test Plans Chapter 8 – v1,https://numberportability.com/documents/5641/Release_4.1a_Certification__Regression_Test_Plan_Chapter_8_-_v1.docx
Release 4.1a Certification and Regression Test Plans Chapter 8 – v2,https://numberportability.com/documents/5637/Release_4.1a_Certification__Regression_Test_Plan_Chapter_8_-_v2.docx
Release 4.1a Certification and Regression Test Plans Chapter 9 – v1,https://numberportability.com/documents/5638/Release_4.1a_Certification__Regression_Test_Plan_Chapter_9_-_v1.docx
Release 4.1a Certification and Regression Test Plans Chapter 9 – v2,https://numberportability.com/documents/5639/Release_4.1a_Certification__Regression_Test_Plan_Chapter_9_-_v2.docx
Release 4.1a Certification and Regression Test Plans Chapter 10 – v1,https://numberportability.com/documents/5640/Release_4.1a_Certification__Regression_Test_Plan_Chapter_10_-_v1.docx
Release 4.1a Certification and Regression Test Plans Chapter 10 – v2,https://numberportability.com/documents/5626/Release_4.1a_Certification__Regression_Test_Plan_Chapter_10_-_v2.docx
Release 4.1a Certification and Regression Test Plans Chapter 11 – v1,https://numberportability.com/documents/5627/Release_4.1a_Certification__Regression_Test_Plan_Chapter_11_-_v1.docx
Release 4.1a Certification and Regression Test Plans Chapter 11 – v2,https://numberportability.com/documents/5628/Release_4.1a_Certification__Regression_Test_Plan_Chapter_11_-_v2.docx
Release 4.1a Certification and Regression Test Plans Chapter 12 – v1,https://numberportability.com/documents/5629/Release_4.1a_Certification__Regression_Test_Plan_Chapter_12_-_v1.docx
