name,url
Release 3.1 Turn-Up Test Plan (2001/12/11),https://numberportability.com/documents/2905/Release_3.1_Turn-Up_Test_Plan_121101_mKzN2aF.pdf
Release 3.1 Turn-Up Test Plan (2001/12/11),https://numberportability.com/documents/2905/Release_3.1_Turn-Up_Test_Plan_121101_mKzN2aF.pdf
Release 3.1 Performance & Volume Test Plan,https://numberportability.com/documents/2903/Release_3.1_Performance__Volume_Test_Plan_B6cGXEq.pdf
Release 3.1 Performance & Volume Test Plan,https://numberportability.com/documents/2903/Release_3.1_Performance__Volume_Test_Plan_B6cGXEq.pdf
Release 3.1 Interoperability Test Plan,https://numberportability.com/documents/2899/Release_3.1_Interoperability_Test_Plan_4NaiBtK.pdf
Release 3.1 Interoperability Test Plan,https://numberportability.com/documents/2899/Release_3.1_Interoperability_Test_Plan_4NaiBtK.pdf
Release 3.1 GDMO (2001/08/07),https://numberportability.com/documents/2893/Release_3.1_GDMO080701_pYh7b6t.txt
Release 3.1 GDMO (2001/08/07),https://numberportability.com/documents/2893/Release_3.1_GDMO080701_pYh7b6t.txt
Release 3.1 ASN1 (2001/08/28),https://numberportability.com/documents/2890/Release_3.1_asn1_082801_w8haSy0.txt
Release 3.1 ASN1 (2001/08/28),https://numberportability.com/documents/2890/Release_3.1_asn1_082801_w8haSy0.txt
Release 3.1 IIS Part 2 (2001/08/22),https://numberportability.com/documents/2897/Release_3.1_IIS_Part_2_082201_7Oc14zY.pdf
Release 3.1 IIS Part 1 (2001/08/28),https://numberportability.com/documents/2895/Release_3.1_IIS_Part_1_082801_Id2Vg6I.pdf
Release 3.1 FRS (2001/08/31),https://numberportability.com/documents/2892/Release_3.1_FRS_083101_qaPXXZc.pdf
